"","ID","longitude","latitude","species","sp","mlim","DBH","life_strategy","elevation","species_wood_density"
"1","12KAcos1",604904.4387,647179.7358,"Anisoptera costata","Acos",50,75,"Emergent",85.991,0.553333333333333
"2","12KAcos2",604919.2154,647168.705,"Anisoptera costata","Acos",50,63,"Emergent",84.58,0.553333333333333
"3","10KDacc1",604793.2842,647441.1995,"Dipterocarpus acutangulus","Dacu",40,56,"Subcanopy",72.232,0.635
"4","11KDACU1",604819.4056,647268.0378,"Dipterocarpus acutangulus","Dacu",40,80,"Subcanopy",80.56001,0.635
"5","11KDACU10",604793.4116,647365.6526,"Dipterocarpus acutangulus","Dacu",40,61.5,"Subcanopy",72.66,0.635
"6","11KDACU11",604941.0098,647375.1146,"Dipterocarpus acutangulus","Dacu",40,80,"Subcanopy",77.08801,0.635
"7","11KDACU12",604950.2819,647345.6484,"Dipterocarpus acutangulus","Dacu",40,125,"Subcanopy",82.161,0.635
"8","11KDACU13",604918.9449,647329.012,"Dipterocarpus acutangulus","Dacu",40,101.5,"Subcanopy",78.288,0.635
"9","11KDACU14",604915.3048,647301.3666,"Dipterocarpus acutangulus","Dacu",40,115.5,"Subcanopy",85.9,0.635
"10","11KDACU15",604913.4652,647295.8357,"Dipterocarpus acutangulus","Dacu",40,60.3,"Subcanopy",86.954,0.635
"11","11KDACU16",604926.3854,647295.8575,"Dipterocarpus acutangulus","Dacu",40,96.8,"Subcanopy",92.595,0.635
"12","11KDACU17",604928.2077,647305.0737,"Dipterocarpus acutangulus","Dacu",40,156,"Subcanopy",91.995,0.635
"13","11KDACU18",604937.4599,647294.0336,"Dipterocarpus acutangulus","Dacu",40,98,"Subcanopy",93.66901,0.635
"14","11KDACU19",604930.1313,647260.8542,"Dipterocarpus acutangulus","Dacu",40,122.5,"Subcanopy",100.08,0.635
"15","11KDACU2",604828.6187,647273.5812,"Dipterocarpus acutangulus","Dacu",40,52,"Subcanopy",85.484,0.635
"16","11KDACU20",604954.0264,647318.0155,"Dipterocarpus acutangulus","Dacu",40,78,"Subcanopy",82.097,0.635
"17","11KDACU21",604963.255,647314.3459,"Dipterocarpus acutangulus","Dacu",40,71,"Subcanopy",85.383,0.635
"18","11KDACU22",604972.4743,647316.2041,"Dipterocarpus acutangulus","Dacu",40,40.6,"Subcanopy",88.618,0.635
"19","11KDACU23",604957.6758,647340.133,"Dipterocarpus acutangulus","Dacu",40,120,"Subcanopy",77.90601,0.635
"20","11KDACU24",604976.1099,647353.0625,"Dipterocarpus acutangulus","Dacu",40,57.6,"Subcanopy",79.991,0.635
"21","11KDACU3",604826.7622,647284.6338,"Dipterocarpus acutangulus","Dacu",40,100,"Subcanopy",86.174,0.635
"22","11KDACU4",604821.2545,647268.0409,"Dipterocarpus acutangulus","Dacu",40,81.4,"Subcanopy",81.208,0.635
"23","11KDACU5",604834.1388,647282.8036,"Dipterocarpus acutangulus","Dacu",40,56.2,"Subcanopy",89.46101,0.635
"24","11KDACU6",604841.5079,647292.0291,"Dipterocarpus acutangulus","Dacu",40,140,"Subcanopy",90.10201,0.635
"25","11KDACU7",604819.3373,647308.5752,"Dipterocarpus acutangulus","Dacu",40,100,"Subcanopy",84.47501,0.635
"26","11KDACU8",604830.393,647317.8069,"Dipterocarpus acutangulus","Dacu",40,110,"Subcanopy",85.773,0.635
