"species","sp"
"Anisoptera costata","Acos"
"Dipterocarpus acutangulus","Dacu"
"Dipterocarpus applanatus","Dapp"
"Dipterocarpus caudiferus","Dcau"
"Dipterocarpus confertus","Dcon"
"Dipterocarpus grandiflorus","Dgra"
"Dipterocarpus humeratus","Dhum"
"Dipterocarpus kerrii","Dker"
"Dipterocarpus kunstleri","Dkun"
"Dryobalanops lanceolata","Dry"
"Hopea beccariana","Hbec"
"Hopea nervosa","Hner"
"Hopea sangal","Hsan"
"Hopea semicuneata","Hsem"
"Hopea spp.","Hsp"
"Parashorea malaanonan","Pmal"
"Parashorea tomentella","Ptom"
"Shorea acuminatissima","Sacu"
"Shorea agami","Saga"
"Shorea almon","Salm"
"Shorea argentifolia","Sarg"
"Shorea beccariana","Sbec"
"Shorea confusa","Scon"
"Shorea falciferoides","Sfal"
"Shorea foxworthyii","Sfox"
"Shorea gibbosa","Sgib"
"Shorea johorensis","Sjoh"
"Shorea leprosula","Slep"
"Shorea macroptera","Smac"
"Shorea mecistopteryx","Smec"
"Shorea multiflora","Smul"
"Shorea parvifolia","Spar"
"Shorea pauciflora","Spau"
"Shorea seminis","Ssem"
"Shorea smithiana","Ssmi"
"Shorea superba","Ssup"
"Shorea symingtonii","Ssym"
"Shorea waltonii","Swal"
"Shorea xanthophylla","Sxan"
"Unknown ","Unkn"
"Vatica dulitensis","Vdul"
"Vatica micrantha","Vmic"
"Vatica oblongifolia","Vobl"
"Vatica rassak","Vras"
