"species","sp","wood_density","time"
"Dryobalanops lanceolata","Dry",0.499646455718579,"initial"
"Dryobalanops lanceolata","Dry",0.361702127659574,"initial"
"Dryobalanops lanceolata","Dry",0.942808051055474,"initial"
"Dryobalanops lanceolata","Dry",0.424622141842139,"initial"
"Dryobalanops lanceolata","Dry",0.418462789751932,"initial"
"Dryobalanops lanceolata","Dry",0.388549276874907,"initial"
"Dryobalanops lanceolata","Dry",0.436784116941202,"initial"
"Dryobalanops lanceolata","Dry",0.445852768201176,"initial"
"Parashorea malaanonan","Pmal",0.549857954545455,"initial"
"Parashorea malaanonan","Pmal",0.504193548387097,"initial"
"Parashorea malaanonan","Pmal",0.446746044690915,"initial"
"Parashorea malaanonan","Pmal",0.496732026143791,"initial"
"Parashorea malaanonan","Pmal",0.430311980801181,"initial"
"Parashorea malaanonan","Pmal",0.457510116638895,"initial"
"Parashorea malaanonan","Pmal",0.607804665358622,"initial"
"Parashorea malaanonan","Pmal",0.422581123129352,"initial"
"Parashorea tomentella","Ptom",0.558907363420428,"initial"
"Parashorea tomentella","Ptom",0.443649685973482,"initial"
"Parashorea tomentella","Ptom",0.556771545827633,"initial"
"Parashorea tomentella","Ptom",0.507116714111427,"initial"
"Parashorea tomentella","Ptom",0.487187039764359,"initial"
"Parashorea tomentella","Ptom",0.616474464579901,"initial"
"Parashorea tomentella","Ptom",0.589455351488284,"initial"
"Parashorea tomentella","Ptom",0.544244843646041,"initial"
"Parashorea tomentella","Ptom",0.470649895178197,"initial"
"Parashorea tomentella","Ptom",0.452946768060836,"initial"
"Shorea beccariana","Sbec",0.421606562451633,"initial"
"Shorea beccariana","Sbec",0.44835868694956,"initial"
"Shorea beccariana","Sbec",0.423980411661183,"initial"
"Shorea beccariana","Sbec",0.447854390859572,"initial"
"Shorea beccariana","Sbec",0.425818483215914,"initial"
"Shorea beccariana","Sbec",0.419686985172982,"initial"
"Shorea beccariana","Sbec",0.394213612031608,"initial"
"Shorea beccariana","Sbec",0.406337098430395,"initial"
"Shorea johorensis","Sjoh",0.410409745293466,"initial"
"Shorea johorensis","Sjoh",0.383362420011635,"initial"
"Shorea johorensis","Sjoh",0.411752227407722,"initial"
"Shorea johorensis","Sjoh",0.341718809858256,"initial"
"Shorea johorensis","Sjoh",0.455182547756302,"initial"
"Shorea johorensis","Sjoh",0.390449438202247,"initial"
"Shorea johorensis","Sjoh",0.333708075697958,"initial"
"Shorea johorensis","Sjoh",0.427766826246128,"initial"
"Shorea johorensis","Sjoh",0.380708140304434,"initial"
"Shorea leprosula","Slep",0.361662591687042,"initial"
"Shorea leprosula","Slep",0.370666917859834,"initial"
"Shorea leprosula","Slep",0.406455026455026,"initial"
"Shorea leprosula","Slep",0.338380716934487,"initial"
"Shorea leprosula","Slep",0.416702082447939,"initial"
"Shorea leprosula","Slep",0.482359529587456,"initial"
"Shorea leprosula","Slep",0.422172619047619,"initial"
"Shorea leprosula","Slep",0.341646872525732,"initial"
"Shorea leprosula","Slep",0.466426858513189,"initial"
"Shorea parvifolia","Spar",0.398088139987038,"initial"
"Shorea parvifolia","Spar",0.238589211618257,"initial"
"Shorea parvifolia","Spar",0.378688524590164,"initial"
"Shorea parvifolia","Spar",0.429634881247784,"initial"
"Shorea parvifolia","Spar",0.384111068260702,"initial"
"Shorea parvifolia","Spar",0.45769528228925,"initial"
"Shorea parvifolia","Spar",0.38843537414966,"initial"
"Shorea parvifolia","Spar",0.323994252873563,"initial"
"Shorea parvifolia","Spar",0.501949165757056,"initial"
"Shorea seminis","Ssem",0.569613733905579,"initial"
"Shorea seminis","Ssem",0.434928631402183,"initial"
"Shorea seminis","Ssem",0.452600958247776,"initial"
"Shorea seminis","Ssem",0.43715710723192,"initial"
"Shorea seminis","Ssem",0.522431259044863,"initial"
"Shorea seminis","Ssem",0.446923438233913,"initial"
"Shorea seminis","Ssem",0.515556403893873,"initial"
"Shorea seminis","Ssem",0.487752928647497,"initial"
"Shorea seminis","Ssem",0.591081267217631,"initial"
"Shorea smithiana","Ssmi",0.371462066655502,"initial"
"Shorea smithiana","Ssmi",0.347812200574896,"initial"
"Shorea smithiana","Ssmi",0.364918579305039,"initial"
"Shorea smithiana","Ssmi",0.361470669237125,"initial"
"Shorea smithiana","Ssmi",0.344533186450014,"initial"
"Shorea smithiana","Ssmi",0.475332193132483,"initial"
"Shorea smithiana","Ssmi",0.318759192405402,"initial"
"Shorea smithiana","Ssmi",0.399038933019515,"initial"
"Shorea xanthophylla","Sxan",0.610609480812641,"initial"
"Shorea xanthophylla","Sxan",0.570142317746152,"initial"
"Shorea xanthophylla","Sxan",0.518917819365338,"initial"
"Shorea xanthophylla","Sxan",0.657325860688551,"initial"
"Shorea xanthophylla","Sxan",0.503054989816701,"initial"
"Shorea xanthophylla","Sxan",0.511667017027538,"initial"
"Shorea xanthophylla","Sxan",0.606189063162357,"initial"
"Shorea xanthophylla","Sxan",0.523501509271238,"initial"
"Shorea xanthophylla","Sxan",0.61489446435683,"initial"
"Shorea xanthophylla","Sxan",0.583434835566383,"initial"
"Parashorea malaanonan","Pmal",0.490407674,"final"
"Shorea leprosula","Slep",0.339298328,"final"
"Shorea parvifolia","Spar",0.410627178,"final"
"Shorea seminis","Ssem",0.522239729,"final"
"Shorea beccariana","Sbec",0.375330064,"final"
"Shorea johorensis","Sjoh",0.397827363,"final"
"Shorea parvifolia","Spar",0.387030995,"final"
"Shorea johorensis","Sjoh",0.348696869,"final"
"Shorea leprosula","Slep",0.358832175,"final"
"Dryobalanops lanceolata","Dry",0.461771245,"final"
"Dryobalanops lanceolata","Dry",0.451549967,"final"
"Shorea xanthophylla","Sxan",0.48053401,"final"
"Shorea beccariana","Sbec",0.35437683,"final"
"Parashorea tomentella","Ptom",0.691891892,"final"
"Shorea xanthophylla","Sxan",0.53628447,"final"
"Shorea seminis","Ssem",0.464306111,"final"
"Shorea smithiana","Ssmi",0.428798951,"final"
"Parashorea tomentella","Ptom",0.481627297,"final"
"Shorea smithiana","Ssmi",0.384774422,"final"
"Parashorea malaanonan","Pmal",0.574534603,"final"
"Parashorea malaanonan","Pmal",0.60820439,"final"
"Shorea beccariana","Sbec",0.329977557,"final"
"Shorea johorensis","Sjoh",0.400944882,"final"
"Parashorea malaanonan","Pmal",0.517709646,"final"
"Shorea smithiana","Ssmi",0.445582586,"final"
"Dryobalanops lanceolata","Dry",0.508404959,"final"
"Shorea seminis","Ssem",0.535703149,"final"
"Parashorea tomentella","Ptom",0.588405001,"final"
"Shorea smithiana","Ssmi",0.36095558,"final"
"Shorea johorensis","Sjoh",0.385379702,"final"
"Shorea seminis","Ssem",0.534338358,"final"
"Dryobalanops lanceolata","Dry",0.442072245,"final"
"Shorea xanthophylla","Sxan",0.62517245,"final"
"Shorea xanthophylla","Sxan",0.447668543,"final"
"Shorea leprosula","Slep",0.355401872,"final"
"Shorea beccariana","Sbec",0.356663552,"final"
"Shorea parvifolia","Spar",0.393635978,"final"
"Parashorea tomentella","Ptom",NA,"final"
"Shorea leprosula","Slep",0.290936635,"final"
"Shorea parvifolia","Spar",0.387035739,"final"
"Dryobalanops lanceolata","Dry",0.501804052,"final"
"Shorea parvifolia","Spar",0.407778007,"final"
"Shorea smithiana","Ssmi",0.431592738,"final"
"Shorea johorensis","Sjoh",0.5,"final"
"Shorea beccariana","Sbec",0.472011688,"final"
"Shorea seminis","Ssem",0.575236731,"final"
"Shorea leprosula","Slep",0.442630469,"final"
"Dryobalanops lanceolata","Dry",0.415124555,"final"
"Shorea xanthophylla","Sxan",0.546061885,"final"
"Shorea johorensis","Sjoh",0.517206911,"final"
"Shorea smithiana","Ssmi",0.414885875,"final"
"Parashorea tomentella","Ptom",0.414885875,"final"
"Shorea beccariana","Sbec",0.269466961,"final"
"Shorea parvifolia","Spar",0.390082123,"final"
"Shorea seminis","Ssem",0.553502453,"final"
"Shorea xanthophylla","Sxan",0.466497915,"final"
"Parashorea malaanonan","Pmal",0.598519991,"final"
"Parashorea malaanonan","Pmal",0.559197408,"final"
"Parashorea tomentella","Ptom",0.544928266,"final"
"Shorea leprosula","Slep",0.465213562,"final"
"Shorea johorensis","Sjoh",0.434138077,"final"
"Parashorea malaanonan","Pmal",0.472800537,"final"
"Shorea beccariana","Sbec",0.43407173,"final"
"Shorea leprosula","Slep",0.351405884,"final"
"Shorea smithiana","Ssmi",0.369185719,"final"
"Dryobalanops lanceolata","Dry",0.439898105,"final"
"Parashorea tomentella","Ptom",NA,"final"
"Shorea seminis","Ssem",0.49071329,"final"
"Shorea smithiana","Ssmi",0.393164601,"final"
"Shorea beccariana","Sbec",0.402112962,"final"
"Shorea parvifolia","Spar",0.328156113,"final"
"Shorea leprosula","Slep",0.326783521,"final"
"Dryobalanops lanceolata","Dry",0.421240903,"final"
"Parashorea malaanonan","Pmal",0.48723177,"final"
"Shorea xanthophylla","Sxan",0.573681349,"final"
"Shorea xanthophylla","Sxan",0.452919021,"final"
"Parashorea tomentella","Ptom",0.510787172,"final"
"Shorea johorensis","Sjoh",0.374640523,"final"
"Shorea seminis","Ssem",0.513213368,"final"
"Shorea parvifolia","Spar",0.36234353,"final"
"Dryobalanops lanceolata","Dry",0.388201272,"final"
"Parashorea malaanonan","Pmal",0.49790954,"final"
"Shorea leprosula","Slep",0.354206049,"final"
"Parashorea tomentella","Ptom",NA,"final"
"Shorea parvifolia","Spar",0.487843137,"final"
"Shorea xanthophylla","Sxan",0.538662581,"final"
"Shorea seminis","Ssem",NA,"final"
"Shorea johorensis","Sjoh",0.449612403,"final"
"Parashorea tomentella","Ptom",0.532341691,"final"
"Shorea beccariana","Sbec",0.396388262,"final"
