species,sp,mother,block,position,treatment,initial_diameter,final_wood_density
Shorea johorensis,Sjoh,8K_SJoh_8,A,1,18,3.75,
Shorea smithiana,Ssmi,Ssmi_m_2,A,2,15,3.98,
Parashorea malaanonan,Pmal,Pm_m_3,A,3,0,3.13,0.490407674
Dryobalanops lanceolata,Dry,DL_m_1,A,4,12,4.8,0.668653523
Shorea xanthophylla,Sxan,Sxan_1,A,5,18,4.04,
Shorea leprosula,Slep,8Pslep_2,A,6,6,5.2,0.45460932
Parashorea tomentella,Ptom,Ptom_3,A,7,6,4.24,0.488530857
Shorea leprosula,Slep,12I_Slep_3,A,8,18,5.97,0.41455905
Shorea leprosula,Slep,12H_Slep_8,A,9,0,4.6,0.339298328
Shorea seminis,Ssem,SS,A,10,3,4.19,0.667520174
Shorea leprosula,Slep,SL_maliau,A,11,9,4.38,0.494749547
Shorea parvifolia,Spar,SP_m_7,A,12,0,3.06,0.410627178
Dryobalanops lanceolata,Dry,DL_m_1,A,13,15,6.7,0.605236957
Shorea seminis,Ssem,SS,A,14,6,2.56,
Shorea seminis,Ssem,SS,A,15,0,4.43,0.522239729
Shorea parvifolia,Spar,Sp_m_3,A,16,15,4.21,0.633892767
Shorea seminis,Ssem,SS,A,17,18,3.29,
Shorea xanthophylla,Sxan,8m_Sxan_3,A,18,18,4.63,
Shorea beccariana,Sbec,Sbec_Sfr,A,19,21,5.01,
Shorea leprosula,Slep,9P_Slep_2,A,20,3,4.11,0.418854578
Shorea seminis,Ssem,SS,A,21,15,3.82,0.651642797
Dryobalanops lanceolata,Dry,DL_m_2,A,22,3,5.65,0.619600044
Shorea xanthophylla,Sxan,8m_Sxan_3,A,23,3,2.56,0.554177546
Shorea beccariana,Sbec,SHOREABECCARINA_Sbec,A,24,0,5.14,0.375330064
Shorea leprosula,Slep,8P_Slep_4,A,25,18,3.31,0.528866175
Shorea leprosula,Slep,SL_m_1,A,26,9,3.27,0.492985247
Shorea johorensis,Sjoh,8K_SJoh_8,A,27,3,2.79,0.627837515
Shorea parvifolia,Spar,Spar_1,A,28,9,4.95,0.48422524
Shorea parvifolia,Spar,Spar_1,A,29,12,4.49,0.48422524
Shorea johorensis,Sjoh,SJ_m_5,A,30,6,4.01,0.687730287
Parashorea tomentella,Ptom,All_Ptom_4,A,31,15,3.67,
Shorea beccariana,Sbec,Sbec_Sfr,A,32,18,5.65,0.521862298
Shorea beccariana,Sbec,Sbec_Sfr,A,33,12,4.72,
Dryobalanops lanceolata,Dry,DL_m_3,A,34,21,4.33,0.62127856
Shorea johorensis,Sjoh,SJ_m_1,A,35,9,3.81,0.6366171
Shorea smithiana,Ssmi,Ssmi_5,A,36,12,6.29,0.6366171
Shorea beccariana,Sbec,SHOREABECCARINA_Sbec,A,37,9,6.1,0.433136313
Parashorea malaanonan,Pmal,Pm_m_4,A,38,15,3.8,
Shorea leprosula,Slep,Slep_1,A,39,21,4.87,0.474721637
Shorea parvifolia,Spar,SP_m_5,A,40,15,4.12,0.668653523
Parashorea malaanonan,Pmal,12H_Pmal_1,A,41,6,2.65,0.688607595
Parashorea malaanonan,Pmal,9L_Pmal_7,A,42,21,3.28,0.687405542
Shorea johorensis,Sjoh,ou_SJoh,A,43,0,2.65,0.397827363
Shorea parvifolia,Spar,Sp_m_4,A,44,0,3.91,0.387030995
Dryobalanops lanceolata,Dry,DL_Tawau,A,45,6,5.54,0.558047166
Shorea beccariana,Sbec,SHOREABECCARINA_Sbec,A,46,12,5.87,0.515021955
Dryobalanops lanceolata,Dry,DL_m_6,A,47,18,2.59,0.541941716
Parashorea tomentella,Ptom,Pt_m_4,A,48,6,3.33,0.616982507
Shorea leprosula,Slep,SL_m_72,A,49,6,3.41,0.54757536
Parashorea malaanonan,Pmal,Pmal_1_RDC,A,50,18,4.45,
Shorea beccariana,Sbec,SHOREABECCARINA_Sbec,A,51,18,4.91,0.386004857
Shorea johorensis,Sjoh,8m_SJoh_6,A,52,18,2.77,
Shorea johorensis,Sjoh,8L_SJoh_50,A,53,0,4.27,0.348696869
Shorea parvifolia,Spar,Sp_m_1,A,54,21,4.4,0.348696869
Shorea seminis,Ssem,Ssem_ou,A,55,9,4.04,0.811947627
Shorea smithiana,Ssmi,Ssmi_4,A,56,3,7.32,0.465951743
Parashorea tomentella,Ptom,Ptom_4,A,57,9,4.71,0.581717944
Shorea johorensis,Sjoh,8m_SJoh_7,A,58,15,3.98,0.562646645
Parashorea malaanonan,Pmal,8L_Pmal_9,A,59,15,4.78,0.684407096
Parashorea tomentella,Ptom,Ptom_2_RDC,A,60,9,3.31,
Shorea leprosula,Slep,Slep_m_122,A,61,0,4.24,0.358832175
Shorea beccariana,Sbec,Sbec_Sfr,A,62,9,5.5,0.666837695
Shorea seminis,Ssem,Ssem_ou,A,63,3,4.35,0.506232147
Shorea xanthophylla,Sxan,8L_Sxan_10,A,64,12,3.53,
Shorea beccariana,Sbec,SHOREABECCARINA_Sbec,A,65,15,5.01,
Dryobalanops lanceolata,Dry,DL_Tawau,A,66,6,4.42,0.620974927
Shorea smithiana,Ssmi,Ssmi_5,A,67,18,4.66,0.513281522
Shorea seminis,Ssem,SS,A,68,21,4.18,
Dryobalanops lanceolata,Dry,DL_m_7,A,69,0,5.26,0.461771245
Dryobalanops lanceolata,Dry,DL_m_6,A,70,0,2.74,0.451549967
Parashorea malaanonan,Pmal,Pmal_Tawau,A,71,12,4.22,0.643227859
Shorea xanthophylla,Sxan,9K_Sxan_29,A,72,0,2.94,0.48053401
Dryobalanops lanceolata,Dry,Dl_m_4,A,73,12,5.78,0.534646176
Shorea beccariana,Sbec,SHOREABECCARINA_Sbec,A,74,0,4.9,0.35437683
Shorea seminis,Ssem,SS,A,75,12,2.4,
Shorea smithiana,Ssmi,Ssmi_19,A,76,6,4.42,0.528939218
Shorea smithiana,Ssmi,9H_Ssmi_4,A,77,21,5.47,0.528939218
Shorea johorensis,Sjoh,SJ_m_4,A,78,12,3.79,0.691891892
Parashorea tomentella,Ptom,Ptom_2_RDC,A,79,0,4.25,0.691891892
Shorea johorensis,Sjoh,8m_SJoh_7,A,80,9,5.64,0.5052892
Shorea smithiana,Ssmi,Ssmi_3A,A,81,9,3.35,0.583499463
Shorea johorensis,Sjoh,8m_SJoh_7,A,82,12,3.08,
Shorea leprosula,Slep,8Q_Slep_4,A,83,12,4.22,0.428941525
Shorea leprosula,Slep,SL_m_6,A,84,3,4.53,0.485266893
Dryobalanops lanceolata,Dry,DL_m_7,A,85,18,4.36,0.653063557
Parashorea tomentella,Ptom,Pt_m_1,A,86,21,4.39,
Shorea seminis,Ssem,Ssem_ou,A,87,9,4.3,
Shorea xanthophylla,Sxan,Sxan_3_RDC,A,88,15,1.95,
Parashorea tomentella,Ptom,Ptom_m_3,A,89,3,4.3,0.56871986
Parashorea tomentella,Ptom,Ptom_3,A,90,3,3.49,
Shorea xanthophylla,Sxan,8m_Sxan_3,A,91,15,4.34,
Shorea xanthophylla,Sxan,8n_Sxan,A,92,21,2.85,
Shorea seminis,Ssem,SS,A,93,15,3.28,
Shorea parvifolia,Spar,9Q_Spar_10,A,94,18,4.34,
Parashorea malaanonan,Pmal,Pmal_m_2,A,95,12,3.21,
Parashorea tomentella,Ptom,9J_Ptom_14,A,96,18,3.14,0.675314036
Shorea xanthophylla,Sxan,Sxan_3_RDC,A,97,0,2.71,0.53628447
Shorea beccariana,Sbec,Sbec_Sfr,A,98,21,4.65,
Shorea parvifolia,Spar,Sp_m_4,A,99,6,3.68,0.501888904
Shorea xanthophylla,Sxan,8L_Sxan_10,A,100,12,3.26,
Shorea seminis,Ssem,SS,A,101,0,2.7,0.464306111
Parashorea malaanonan,Pmal,8L_Pmal_9,A,102,6,3.41,
