"name","species","sp","volume","dry_weight","wood_density"
"dl1","Dryobalanops lanceolata","Dry",1131.4,565.3,0.499646455718579
"dl2","Dryobalanops lanceolata","Dry",573.4,207.4,0.361702127659574
"dl3","Dryobalanops lanceolata","Dry",407.4,384.1,0.942808051055474
"dl4","Dryobalanops lanceolata","Dry",774.1,328.7,0.424622141842139
"dl5","Dryobalanops lanceolata","Dry",245.9,102.9,0.418462789751932
"dl6","Dryobalanops lanceolata","Dry",670.7,260.6,0.388549276874907
"dl7","Dryobalanops lanceolata","Dry",916.7,400.4,0.436784116941202
"dl8","Dryobalanops lanceolata","Dry",986.2,439.7,0.445852768201176
"pm1","Parashorea malaanonan","Pmal",704,387.1,0.549857954545455
"pm13","Parashorea malaanonan","Pmal",620,312.6,0.504193548387097
"pm14","Parashorea malaanonan","Pmal",613.1,273.9,0.446746044690915
"pm15","Parashorea malaanonan","Pmal",657.9,326.8,0.496732026143791
"pm16","Parashorea malaanonan","Pmal",541.7,233.1,0.430311980801181
"pm2","Parashorea malaanonan","Pmal",420.1,192.2,0.457510116638895
"pm3","Parashorea malaanonan","Pmal",458.7,278.8,0.607804665358622
"pm4","Parashorea malaanonan","Pmal",674.9,285.2,0.422581123129352
"pt10","Parashorea tomentella","Ptom",421,235.3,0.558907363420428
"pt11","Parashorea tomentella","Ptom",573.2,254.3,0.443649685973482
"pt12","Parashorea tomentella","Ptom",365.5,203.5,0.556771545827633
"pt13","Parashorea tomentella","Ptom",491.8,249.4,0.507116714111427
"pt14","Parashorea tomentella","Ptom",339.5,165.4,0.487187039764359
"pt4","Parashorea tomentella","Ptom",303.5,187.1,0.616474464579901
"pt6","Parashorea tomentella","Ptom",631.6,372.3,0.589455351488284
"pt6","Parashorea tomentella","Ptom",450.9,245.4,0.544244843646041
"pt7","Parashorea tomentella","Ptom",477,224.5,0.470649895178197
"pt9","Parashorea tomentella","Ptom",631.2,285.9,0.452946768060836
"SB1","Shorea beccariana","Sbec",646.1,272.4,0.421606562451633
"SB2","Shorea beccariana","Sbec",624.5,280,0.44835868694956
"SB3","Shorea beccariana","Sbec",1306.9,554.1,0.423980411661183
"SB4","Shorea beccariana","Sbec",752.7,337.1,0.447854390859572
"SB5","Shorea beccariana","Sbec",482.6,205.5,0.425818483215914
"SB6","Shorea beccariana","Sbec",971.2,407.6,0.419686985172982
"SB7","Shorea beccariana","Sbec",784.6,309.3,0.394213612031608
"SB8","Shorea beccariana","Sbec",681.7,277,0.406337098430395
"sj27","Shorea johorensis","Sjoh",451.5,185.3,0.410409745293466
"sj28","Shorea johorensis","Sjoh",343.8,131.8,0.383362420011635
"sj29","Shorea johorensis","Sjoh",471.4,194.1,0.411752227407722
"sj30","Shorea johorensis","Sjoh",783.1,267.6,0.341718809858256
"sj31","Shorea johorensis","Sjoh",884.7,402.7,0.455182547756302
"sj32","Shorea johorensis","Sjoh",569.6,222.4,0.390449438202247
"sj33","Shorea johorensis","Sjoh",533.7,178.1,0.333708075697958
"sj34","Shorea johorensis","Sjoh",355.1,151.9,0.427766826246128
"sj35","Shorea johorensis","Sjoh",604.4,230.1,0.380708140304434
"SL13","Shorea leprosula","Slep",1022.5,369.8,0.361662591687042
"SL14","Shorea leprosula","Slep",1061.6,393.5,0.370666917859834
"SL15","Shorea leprosula","Slep",945,384.1,0.406455026455026
"SL16","Shorea leprosula","Slep",647.2,219,0.338380716934487
"SL17","Shorea leprosula","Slep",941.2,392.2,0.416702082447939
"SL18","Shorea leprosula","Slep",535.7,258.4,0.482359529587456
"SL19","Shorea leprosula","Slep",672,283.7,0.422172619047619
"SL21","Shorea leprosula","Slep",757.8,258.9,0.341646872525732
"SL22","Shorea leprosula","Slep",417,194.5,0.466426858513189
"sp1","Shorea parvifolia","Spar",617.2,245.7,0.398088139987038
"sp2","Shorea parvifolia","Spar",915.8,218.5,0.238589211618257
"sp3","Shorea parvifolia","Spar",366,138.6,0.378688524590164
"sp4","Shorea parvifolia","Spar",282.1,121.2,0.429634881247784
"sp5","Shorea parvifolia","Spar",259.3,99.6,0.384111068260702
"sp6","Shorea parvifolia","Spar",646.5,295.9,0.45769528228925
"sp7","Shorea parvifolia","Spar",735,285.5,0.38843537414966
"sp8","Shorea parvifolia","Spar",556.8,180.4,0.323994252873563
"sp9","Shorea parvifolia","Spar",641.3,321.9,0.501949165757056
"ss1","Shorea seminis","Ssem",582.5,331.8,0.569613733905579
"ss2","Shorea seminis","Ssem",357.3,155.4,0.434928631402183
"ss3","Shorea seminis","Ssem",584.4,264.5,0.452600958247776
"ss4","Shorea seminis","Ssem",401,175.3,0.43715710723192
"ss5","Shorea seminis","Ssem",552.8,288.8,0.522431259044863
"ss6","Shorea seminis","Ssem",425.8,190.3,0.446923438233913
"ss7","Shorea seminis","Ssem",523.9,270.1,0.515556403893873
"ss8","Shorea seminis","Ssem",375.6,183.2,0.487752928647497
"ss9","Shorea seminis","Ssem",580.8,343.3,0.591081267217631
"si1","Shorea smithiana","Ssmi",597.1,221.8,0.371462066655502
"si2","Shorea smithiana","Ssmi",939.3,326.7,0.347812200574896
"si3","Shorea smithiana","Ssmi",779.9,284.6,0.364918579305039
"si4","Shorea smithiana","Ssmi",726.2,262.5,0.361470669237125
"SI5","Shorea smithiana","Ssmi",726.2,250.2,0.344533186450014
"SI6","Shorea smithiana","Ssmi",760.1,361.3,0.475332193132483
"SI7","Shorea smithiana","Ssmi",747.9,238.4,0.318759192405402
"SI8","Shorea smithiana","Ssmi",1019.7,406.9,0.399038933019515
"SX1","Shorea xanthophylla","Sxan",265.8,162.3,0.610609480812641
"SX10","Shorea xanthophylla","Sxan",344.3,196.3,0.570142317746152
"SX2","Shorea xanthophylla","Sxan",491.6,255.1,0.518917819365338
"SX3","Shorea xanthophylla","Sxan",249.8,164.2,0.657325860688551
"SX4","Shorea xanthophylla","Sxan",736.5,370.5,0.503054989816701
"SX5","Shorea xanthophylla","Sxan",475.7,243.4,0.511667017027538
"SX6","Shorea xanthophylla","Sxan",471.8,286,0.606189063162357
"SX7","Shorea xanthophylla","Sxan",463.8,242.8,0.523501509271238
"SX8","Shorea xanthophylla","Sxan",251.1,154.4,0.61489446435683
"SX9","Shorea xanthophylla","Sxan",328.4,191.6,0.583434835566383
