"species","sp","risk_ratio"
"Dryobalanops lanceolata","Dry",0.0903572082655134
"Parashorea malaanonan","Pmal",0.320891098357397
"Parashorea tomentella","Ptom",0.238506819594676
"Shorea acuminatissima","Sacu",0.401374645494218
"Shorea beccariana","Sbec",0.40855321937351
"Shorea falciferoides","Sfal",0.0832560882104778
"Shorea gibbosa","Sgib",0.37869063104776
"Shorea leprosula","Slep",0.137667717400225
"Shorea macroptera","Smac",0.272726309529034
"Shorea mecistopteryx","Smec",0.138372067649081
"Shorea parvifolia","Spar",0.272373411205653
"Shorea pauciflora","Spau",0.115491399867663
"Shorea seminis","Ssem",0.089368639082621
"Shorea smithiana","Ssmi",0.394102540846365
"Shorea waltonii","Swal",0.189282539474251
"Shorea xanthophylla","Sxan",0.0984802273799002
