"species","sp","density","n"
"Anisoptera costata","Acos",0.55,3
"Dipterocarpus acutangulus","Dacu",0.64,2
"Dipterocarpus applanatus","Dapp",0.64,1
"Dipterocarpus caudiferus","Dcau",0.69,1
"Dipterocarpus confertus","Dcon",0.64,1
"Dipterocarpus grandiflorus","Dgra",0.67,3
"Dipterocarpus humeratus","Dhum",0.63,1
"Dipterocarpus kerrii","Dker",0.61,1
"Dipterocarpus kunstleri","Dkun",0.6,4
"Dryobalanops lanceolata","Dry",0.62,2
"Hopea beccariana","Hbec",0.65,3
"Hopea nervosa","Hner",0.61,3
"Hopea sangal","Hsan",NA,NA
"Hopea semicuneata","Hsem",0.81,3
"Hopea spp.","Hsp",0.692222222222222,9
"Parashorea malaanonan","Pmal",0.42,2
"Parashorea tomentella","Ptom",0.51,1
"Shorea acuminatissima","Sacu",0.39,2
"Shorea agami","Saga",0.53,1
"Shorea almon","Salm",0.39,1
"Shorea argentifolia","Sarg",0.52,2
"Shorea beccariana","Sbec",0.47,2
"Shorea confusa","Scon",0.510526315789474,22
"Shorea falciferoides","Sfal",0.72,1
"Shorea foxworthyi","Sfox",0.82,3
"Shorea gibbosa","Sgib",0.45,2
"Shorea johorensis","Sjoh",0.39,3
"Shorea leprosula","Slep",0.44,4
"Shorea macroptera","Smac",0.42,4
"Shorea mecistopteryx","Smec",0.43,3
"Shorea multiflora","Smul",0.51,4
"Shorea parvifolia","Spar",0.4,2
"Shorea pauciflora","Spau",0.61,4
"Shorea seminis","Ssem",0.72,1
"Shorea smithiana","Ssmi",0.36,2
"Shorea superba","Ssup",0.69,2
"Shorea symingtonii","Ssym",0.510526315789474,22
"Shorea waltonii","Swal",0.510526315789474,22
"Shorea xanthophylla","Sxan",0.52,2
"Unknown","Unkn",0.55575,80
"Vatica dulitensis","Vdul",0.82,1
"Vatica micrantha","Vmic",0.75,1
"Vatica oblongifolia","Vobl",0.7,2
"Vatica rassak","Vras",0.55,3
