"species","sp","density","n","ref"
"Anisoptera costata","Acos",0.55,3,"Global wood density db"
"Dipterocarpus acutangulus","Dacu",0.64,2,"Global wood density db"
"Dipterocarpus applanatus","Dapp",0.64,1,"Global wood density db"
"Dipterocarpus caudiferus","Dcau",0.69,1,"Meijer &Wood(1964)"
"Dipterocarpus confertus","Dcon",0.64,1,"Global wood density db"
"Dipterocarpus grandiflorus","Dgra",0.67,3,"Global wood density db"
"Dipterocarpus humeratus","Dhum",0.63,1,"Global wood density db"
"Dipterocarpus kerrii","Dker",0.61,1,"Global wood density db"
"Dipterocarpus kunstleri","Dkun",0.6,4,"Global wood density db"
"Dryobalanops lanceolata","Dry",0.62,2,"Global wood density db"
"Hopea beccariana","Hbec",0.65,3,"Global wood density db"
"Hopea nervosa","Hner",0.61,3,"Global wood density db"
"Hopea sangal","Hsan",0.7,1,"Martawaijaya et al. 1992"
"Hopea semicuneata","Hsem",0.81,3,"Global wood density db"
"Hopea spp.","Hsp",0.692222222222222,9,"Global wood density db"
"Parashorea malaanonan","Pmal",0.42,2,"Global wood density db"
"Parashorea tomentella","Ptom",0.51,1,"Oey Djoen Seng (1951) in Soewarsono (1990)"
"Shorea acuminatissima","Sacu",0.39,2,"Global wood density db"
"Shorea agami","Saga",0.53,1,"Global wood density db"
"Shorea almon","Salm",0.39,1,"Global wood density db"
"Shorea argentifolia","Sarg",0.52,2,"Global wood density db"
"Shorea beccariana","Sbec",0.47,2,"Global wood density db"
"Shorea confusa","Scon",0.510526315789474,22,"Global wood density db"
"Shorea falciferoides","Sfal",0.72,1,"Global wood density db"
"Shorea foxworthyi","Sfox",0.82,3,"Global wood density db"
"Shorea gibbosa","Sgib",0.45,2,"Global wood density db"
"Shorea johorensis","Sjoh",0.39,3,"Global wood density db"
"Shorea leprosula","Slep",0.44,4,"Global wood density db"
"Shorea macroptera","Smac",0.42,4,"Global wood density db"
"Shorea mecistopteryx","Smec",0.43,3,"Global wood density db"
"Shorea multiflora","Smul",0.51,4,"Global wood density db"
"Shorea parvifolia","Spar",0.4,2,"Global wood density db"
"Shorea pauciflora","Spau",0.61,4,"Global wood density db"
"Shorea seminis","Ssem",0.72,1,"Global wood density db"
"Shorea smithiana","Ssmi",0.36,2,"Global wood density db"
"Shorea superba","Ssup",0.69,2,"Global wood density db"
"Shorea symingtonii","Ssym",0.510526315789474,22,"Global wood density db"
"Shorea waltonii","Swal",0.510526315789474,22,"Global wood density db"
"Shorea xanthophylla","Sxan",0.52,2,"Global wood density db"
"Unknown","Unkn",0.55575,80,"Global wood density db"
"Vatica dulitensis","Vdul",0.82,1,"Soerjanegara and Lemmens, R.H.M.J. (Editors), 1994. PROSEA 5(1): Timber trees: Major commercial timbers."
"Vatica micrantha","Vmic",0.75,1,"Global wood density db"
"Vatica oblongifolia","Vobl",0.7,2,"Global wood density db"
"Vatica rassak","Vras",0.55,3,"Global wood density db"
